START: HEAP 244772
PROCESSING: CHARS 11435, TIME 15503ms
697: 45 - 74, 32 - 44, count=632
698: 10 - 95, 9 - 9, count=632
699: 83 - 83, 16 - 83, count=633
700: 62 - 80, 63 - 90, count=634
701: 25 - 49, 26 - 52, count=635
702: 67 - 75, 25 - 59, count=635
703: 25 - 83, 26 - 73, count=636
704: 52 - 91, 52 - 52, count=637
705: 69 - 88, 68 - 89, count=638
706: 56 - 85, 55 - 95, count=639
707: 9 - 97, 97 - 97, count=640
708: 36 - 92, 6 - 36, count=641
709: 45 - 46, 44 - 46, count=642
710: 28 - 41, 28 - 41, count=643
711: 18 - 82, 28 - 87, count=644
712: 30 - 31, 31 - 96, count=645
713: 5 - 81, 6 - 6, count=646
714: 14 - 89, 34 - 88, count=647
715: 27 - 91, 27 - 27, count=648
716: 96 - 96, 31 - 96, count=649
717: 16 - 18, 17 - 30, count=650
718: 17 - 17, 16 - 84, count=651
719: 3 - 43, 31 - 45, count=652
720: 31 - 62, 30 - 61, count=653
721: 48 - 95, 47 - 60, count=654
722: 16 - 78, 15 - 78, count=655
723: 48 - 48, 34 - 48, count=656
724: 3 - 94, 2 - 95, count=657
725: 1 - 1, 2 - 2, count=657
726: 86 - 87, 84 - 89, count=658
727: 31 - 49, 31 - 66, count=659
728: 13 - 13, 13 - 46, count=660
729: 4 - 95, 79 - 95, count=661
730: 3 - 33, 1 - 34, count=662
731: 4 - 69, 10 - 69, count=663
732: 29 - 89, 83 - 90, count=664
733: 25 - 70, 23 - 71, count=665
734: 59 - 96, 60 - 83, count=666
735: 78 - 90, 15 - 83, count=667
736: 15 - 96, 15 - 76, count=668
737: 80 - 98, 12 - 79, count=668
738: 41 - 46, 42 - 47, count=669
739: 1 - 98, 2 - 97, count=670
740: 25 - 70, 26 - 71, count=671
741: 4 - 30, 83 - 93, count=671
742: 43 - 59, 42 - 59, count=672
743: 25 - 47, 24 - 48, count=673
744: 2 - 99, 3 - 99, count=674
745: 1 - 79, 80 - 80, count=674
746: 2 - 93, 1 - 92, count=675
747: 7 - 10, 7 - 10, count=676
748: 55 - 66, 54 - 65, count=677
749: 9 - 73, 9 - 73, count=678
750: 23 - 56, 22 - 56, count=679
751: 22 - 44, 21 - 45, count=680
752: 11 - 78, 12 - 79, count=681
753: 7 - 92, 8 - 87, count=682
754: 58 - 93, 16 - 94, count=683
755: 24 - 69, 24 - 94, count=684
756: 94 - 94, 39 - 94, count=685
757: 34 - 58, 33 - 58, count=686
758: 49 - 78, 77 - 77, count=687
759: 7 - 18, 6 - 19, count=688
760: 74 - 74, 73 - 93, count=689
761: 44 - 81, 48 - 81, count=690
762: 11 - 85, 84 - 84, count=691
763: 29 - 91, 30 - 92, count=692
764: 17 - 93, 16 - 17, count=693
765: 1 - 48, 2 - 78, count=694
766: 11 - 93, 94 - 94, count=694
767: 12 - 97, 96 - 96, count=695
768: 6 - 94, 6 - 6, count=696
769: 19 - 92, 56 - 67, count=697
770: 10 - 53, 2 - 10, count=698
771: 14 - 81, 13 - 90, count=699
772: 23 - 92, 23 - 93, count=700
773: 38 - 70, 70 - 71, count=701
774: 42 - 98, 42 - 66, count=702
775: 37 - 86, 38 - 99, count=703
776: 11 - 97, 1 - 97, count=704
777: 48 - 81, 49 - 49, count=705
778: 11 - 81, 9 - 20, count=706
779: 44 - 92, 15 - 44, count=707
780: 68 - 95, 67 - 97, count=708
781: 57 - 74, 57 - 74, count=709
782: 34 - 39, 16 - 38, count=710
783: 27 - 79, 28 - 80, count=711
784: 50 - 59, 10 - 60, count=712
785: 13 - 41, 13 - 30, count=713
786: 77 - 79, 45 - 78, count=714
787: 24 - 72, 24 - 80, count=715
788: 12 - 12, 12 - 66, count=716
789: 10 - 81, 81 - 82, count=717
790: 4 - 60, 3 - 61, count=718
791: 31 - 85, 30 - 31, count=719
792: 23 - 56, 23 - 69, count=720
793: 21 - 84, 83 - 84, count=721
794: 8 - 92, 91 - 91, count=722
795: 27 - 86, 85 - 91, count=723
796: 64 - 96, 63 - 99, count=724
797: 2 - 50, 3 - 50, count=725
798: 70 - 88, 2 - 71, count=726
799: 11 - 27, 12 - 27, count=727
800: 31 - 32, 31 - 55, count=728
801: 2 - 73, 73 - 85, count=729
802: 27 - 28, 27 - 27, count=730
803: 68 - 94, 68 - 79, count=731
804: 4 - 95, 67 - 96, count=732
805: 22 - 79, 8 - 22, count=733
806: 3 - 71, 2 - 70, count=734
807: 6 - 92, 1 - 92, count=735
808: 74 - 97, 73 - 93, count=736
809: 2 - 73, 1 - 66, count=737
810: 10 - 11, 10 - 96, count=738
811: 29 - 34, 30 - 34, count=739
812: 43 - 93, 23 - 42, count=739
813: 25 - 28, 27 - 28, count=740
814: 52 - 93, 53 - 94, count=741
815: 62 - 81, 46 - 63, count=742
816: 8 - 22, 8 - 8, count=743
817: 10 - 93, 92 - 94, count=744
818: 10 - 96, 98 - 99, count=744
819: 2 - 83, 1 - 1, count=744
820: 14 - 23, 13 - 17, count=745
821: 27 - 97, 71 - 96, count=746
822: 2 - 3, 1 - 8, count=747
823: 4 - 79, 4 - 58, count=748
824: 52 - 96, 53 - 89, count=749
825: 19 - 97, 11 - 19, count=750
826: 18 - 84, 17 - 85, count=751
827: 39 - 99, 39 - 88, count=752
828: 25 - 34, 26 - 31, count=753
829: 41 - 66, 41 - 65, count=754
830: 2 - 82, 1 - 83, count=755
831: 8 - 39, 40 - 40, count=755
832: 35 - 58, 26 - 58, count=756
833: 5 - 52, 4 - 51, count=757
834: 4 - 97, 34 - 96, count=758
835: 53 - 84, 3 - 74, count=759
836: 3 - 9, 3 - 97, count=760
837: 2 - 42, 8 - 96, count=761
838: 4 - 6, 5 - 95, count=762
839: 53 - 77, 22 - 53, count=763
840: 16 - 83, 15 - 82, count=764
841: 41 - 50, 41 - 74, count=765
842: 11 - 12, 11 - 78, count=766
843: 39 - 81, 38 - 82, count=767
844: 7 - 36, 8 - 37, count=768
845: 3 - 99, 3 - 97, count=769
846: 50 - 53, 52 - 54, count=770
847: 7 - 98, 98 - 98, count=771
848: 30 - 73, 31 - 31, count=772
849: 90 - 90, 73 - 90, count=773
850: 74 - 83, 74 - 83, count=774
851: 45 - 66, 7 - 65, count=775
852: 15 - 95, 15 - 16, count=776
853: 53 - 86, 54 - 87, count=777
854: 1 - 7, 7 - 86, count=778
855: 64 - 64, 29 - 63, count=778
856: 17 - 31, 17 - 75, count=779
857: 26 - 40, 48 - 98, count=779
858: 18 - 34, 17 - 33, count=780
859: 45 - 45, 5 - 45, count=781
860: 24 - 42, 23 - 42, count=782
861: 66 - 90, 65 - 91, count=783
862: 15 - 76, 8 - 27, count=784
863: 4 - 56, 4 - 56, count=785
864: 59 - 59, 59 - 66, count=786
865: 20 - 52, 29 - 63, count=787
866: 56 - 57, 54 - 57, count=788
867: 90 - 99, 46 - 73, count=788
868: 6 - 98, 6 - 98, count=789
869: 7 - 75, 7 - 75, count=790
870: 28 - 96, 13 - 96, count=791
871: 39 - 49, 33 - 50, count=792
872: 45 - 60, 61 - 79, count=792
873: 8 - 81, 8 - 90, count=793
874: 6 - 7, 7 - 73, count=794
875: 43 - 88, 1 - 99, count=795
876: 87 - 89, 53 - 88, count=796
877: 79 - 80, 32 - 80, count=797
878: 7 - 15, 7 - 15, count=798
879: 40 - 41, 8 - 40, count=799
880: 28 - 99, 29 - 56, count=800
881: 47 - 89, 90 - 90, count=800
882: 66 - 66, 46 - 66, count=801
883: 6 - 99, 7 - 98, count=802
884: 13 - 97, 96 - 97, count=803
885: 67 - 67, 22 - 68, count=804
886: 61 - 88, 27 - 89, count=805
887: 12 - 33, 13 - 13, count=806
888: 3 - 19, 3 - 40, count=807
889: 10 - 61, 10 - 99, count=808
890: 13 - 29, 29 - 97, count=809
891: 50 - 83, 9 - 49, count=809
892: 1 - 21, 1 - 91, count=810
893: 48 - 48, 10 - 48, count=811
894: 51 - 81, 51 - 51, count=812
895: 39 - 41, 40 - 98, count=813
896: 61 - 84, 62 - 83, count=814
897: 4 - 94, 4 - 93, count=815
898: 3 - 3, 2 - 29, count=816
899: 87 - 89, 82 - 88, count=817
900: 3 - 16, 3 - 40, count=818
901: 36 - 48, 48 - 48, count=819
902: 27 - 54, 26 - 53, count=820
903: 50 - 91, 49 - 91, count=821
904: 1 - 99, 1 - 1, count=822
905: 16 - 18, 17 - 41, count=823
906: 74 - 75, 17 - 75, count=824
907: 25 - 61, 7 - 25, count=825
908: 40 - 40, 39 - 83, count=826
909: 41 - 61, 55 - 61, count=827
910: 58 - 89, 23 - 89, count=828
911: 10 - 78, 77 - 79, count=829
912: 9 - 68, 1 - 9, count=830
913: 9 - 49, 10 - 94, count=831
914: 64 - 88, 88 - 88, count=832
915: 43 - 88, 42 - 89, count=833
916: 55 - 94, 4 - 94, count=834
917: 23 - 60, 46 - 59, count=835
918: 14 - 80, 79 - 81, count=836
919: 39 - 46, 38 - 45, count=837
920: 35 - 69, 58 - 68, count=838
921: 38 - 97, 97 - 97, count=839
922: 7 - 39, 7 - 87, count=840
923: 33 - 96, 33 - 71, count=841
924: 3 - 43, 26 - 42, count=842
925: 1 - 32, 2 - 96, count=843
926: 55 - 99, 54 - 56, count=844
927: 50 - 56, 48 - 55, count=845
928: 44 - 92, 93 - 93, count=845
929: 10 - 67, 9 - 9, count=845
930: 31 - 73, 3 - 31, count=846
931: 8 - 91, 9 - 9, count=847
932: 19 - 19, 19 - 61, count=848
933: 63 - 94, 63 - 94, count=849
934: 7 - 29, 94 - 99, count=849
935: 11 - 87, 10 - 92, count=850
936: 10 - 70, 69 - 71, count=851
937: 15 - 85, 14 - 85, count=852
938: 11 - 29, 10 - 13, count=853
939: 61 - 96, 56 - 95, count=854
940: 6 - 58, 7 - 7, count=855
941: 79 - 79, 64 - 78, count=855
942: 70 - 89, 11 - 90, count=856
943: 7 - 73, 7 - 73, count=857
944: 62 - 94, 14 - 62, count=858
945: 15 - 99, 15 - 25, count=859
946: 8 - 30, 7 - 71, count=860
947: 20 - 49, 19 - 21, count=861
948: 20 - 36, 10 - 36, count=862
949: 9 - 80, 7 - 9, count=863
950: 42 - 87, 30 - 88, count=864
951: 9 - 95, 10 - 96, count=865
952: 10 - 63, 50 - 90, count=866
953: 13 - 16, 7 - 15, count=867
954: 25 - 87, 88 - 88, count=867
955: 5 - 62, 3 - 62, count=868
956: 9 - 13, 11 - 99, count=869
957: 5 - 72, 18 - 73, count=870
958: 75 - 75, 8 - 75, count=871
959: 1 - 95, 3 - 95, count=872
960: 18 - 91, 91 - 91, count=873
961: 12 - 96, 12 - 13, count=874
962: 32 - 78, 33 - 78, count=875
963: 2 - 83, 83 - 95, count=876
964: 33 - 65, 33 - 33, count=877
965: 66 - 82, 1 - 67, count=878
966: 65 - 93, 64 - 93, count=879
967: 35 - 47, 19 - 34, count=879
968: 22 - 47, 21 - 42, count=880
969: 4 - 54, 3 - 55, count=881
970: 44 - 98, 44 - 45, count=882
971: 99 - 99, 7 - 97, count=882
972: 95 - 95, 7 - 94, count=882
973: 43 - 84, 42 - 83, count=883
974: 28 - 48, 29 - 67, count=884
975: 2 - 98, 2 - 3, count=885
976: 2 - 97, 3 - 95, count=886
977: 68 - 68, 1 - 67, count=886
978: 20 - 29, 4 - 30, count=887
979: 16 - 35, 5 - 47, count=888
980: 22 - 76, 99 - 99, count=888
981: 6 - 29, 6 - 29, count=889
982: 24 - 58, 47 - 57, count=890
983: 2 - 7, 7 - 68, count=891
984: 56 - 58, 46 - 57, count=892
985: 36 - 45, 35 - 71, count=893
986: 13 - 18, 18 - 18, count=894
987: 13 - 42, 14 - 43, count=895
988: 72 - 92, 91 - 93, count=896
989: 82 - 87, 76 - 84, count=897
990: 79 - 81, 14 - 80, count=898
991: 38 - 65, 38 - 38, count=899
992: 42 - 42, 1 - 41, count=899
993: 2 - 42, 20 - 67, count=900
994: 20 - 70, 20 - 70, count=901
995: 28 - 88, 89 - 94, count=901
996: 6 - 54, 7 - 55, count=902
997: 77 - 92, 77 - 94, count=903
998: 37 - 99, 67 - 90, count=904
999: 9 - 11, 56 - 71, count=904
1000: 43 - 43, 34 - 43, count=905
OVERLAPS = 905
END: 1001 lines read : HEAP 244772 : TIME 15852ms
